State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BANDA,BANDA,6,0,4794,1930,2741,129,10,3725,1065,3,555,4242,3,0,4797,4798,2,1501,3299,2556,2244,4348,452,4590,188,4409,391,4787,13
BARABANKI,BARABANKI,0,953,8047,1295,5685,2020,154,7319,1527,91,1743,7166,54,0,8946,8964,36,2986,6014,115,8885,1365,7634,7882,1118,3267,5733,1887,7113
BAREILLY,BAREILLY,15,1,8984,304,4740,3956,13,8202,785,9,209,8782,11,10,8979,8718,280,8840,160,5627,3373,6518,2481,8650,347,8105,893,7168,1832
BASTI,BASTI,11,10,8379,3063,5249,88,82,6121,2197,16,87,8297,40,2,8357,8399,1,118,8282,8093,307,957,7443,8396,2,3450,4950,8174,226
BHADOHI,BHADOHI,0,0,3000,7,1431,1562,274,2723,3,0,3,2997,0,0,3000,3000,0,940,2060,2924,76,2636,364,3000,0,2977,23,3000,0
BIJNOR,BIJNOR,18,4,6578,455,3924,2220,122,6180,298,37,655,5908,30,5,6562,6560,40,5832,768,6565,35,5582,1017,6598,2,5119,1481,6585,15
BUDAUN,BUDAUN,3,1,9004,59,7155,1794,21,6198,2789,17,540,8451,31,2,8975,8975,33,8403,605,3597,5411,7139,1868,8782,225,7742,1264,5508,3500
BULANDSHAHR,BULANDSHAHR,5,720,8875,3413,4254,1933,82,9403,115,5,768,8827,7,5,9588,9583,17,2412,7188,4238,5361,5231,4366,9120,477,9235,365,8681,919
CHANDAULI,CHANDAULI,8,0,5392,89,2366,2945,141,4776,483,6,64,5330,14,19,5360,5398,2,29,5370,1885,3515,2595,2805,3056,2343,4847,552,3714,1686
CHITRAKOOT,CHITRAKOOT,0,0,2500,223,1521,754,15,1842,643,0,321,2179,3,1,2496,2499,1,100,2400,1653,847,2281,219,2496,4,1424,1074,2347,153
DEORIA,DEORIA,30,4,9566,337,7563,1700,54,8900,646,325,3489,5786,11,11,9571,9567,30,9042,558,9373,227,9318,282,9554,29,9533,65,9549,51
ETAH,ETAH,4,766,4030,511,3869,420,843,3481,476,32,736,4032,7,4,4787,4799,1,4583,217,95,4704,2329,2471,4761,37,1848,2952,540,4259
ETAWAH,ETAWAH,10,1296,3494,1281,3052,467,44,4750,6,37,399,4364,3,2,4795,4798,2,2930,1870,3448,1352,3046,1754,4470,330,2388,2412,4799,1
FARRUKHABAD,FARRUKHABAD,0,0,3500,1795,1695,10,3,3366,131,5,5,3490,6,1,3493,3484,16,3453,47,3177,323,2482,1016,3484,12,3498,2,3496,4
FATEHPUR,FATEHPUR,0,0,8000,3804,4140,56,1651,6349,0,4,2,7994,205,0,7795,7934,66,7976,24,6124,1876,3833,4167,6995,1005,7765,235,7113,887
FIROZABAD,FIROZABAD,4,0,5395,904,3643,851,1468,3431,500,27,792,4579,51,5,5341,5376,23,4248,1151,2188,3211,2507,2892,4824,575,272,5127,5175,224
GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,0,242,1160,144,605,654,180,1131,92,19,221,1163,5,6,1392,1034,369,837,539,677,725,975,421,1255,144,1097,277,1110,291
GHAZIABAD,GHAZIABAD,1,261,1738,141,1387,473,37,1844,120,13,284,1703,2,2,1997,1912,89,1565,436,1003,998,1319,671,1891,108,1483,516,1414,587
GHAZIPUR,GHAZIPUR,9,1,9590,282,4783,4535,1866,4960,2774,25,110,9465,5,2,9593,9581,19,1863,7737,8921,679,4095,5505,9584,15,4900,4699,9109,491
GONDA,GONDA,17,7,9577,720,6768,2113,19,6976,2606,172,772,8657,10,2,9589,9592,7,2507,7094,7724,1877,6705,2896,8627,974,1782,7819,9337,264
GORAKHPUR,GORAKHPUR,14,1,11985,36,8680,3283,17,11048,935,298,3006,8696,8,3,11989,11996,4,11756,244,10857,1143,8554,3445,11994,5,9891,2109,11867,133
HAMIRPUR,HAMIRPUR,1,0,3499,424,2704,372,26,3153,321,8,270,3222,15,1,3477,3499,1,3135,365,2856,644,3436,64,3193,305,475,3025,3068,432
HAPUR,HAPUR,1,211,1788,454,1257,289,23,1759,218,19,194,1787,1,1,1997,1999,1,1560,440,1554,446,540,1460,1999,1,1652,348,690,1310
HARDOI,HARDOI,22,0,11378,7921,3419,60,36,11275,89,4,1812,9584,14,5,11381,11373,26,11280,120,10928,471,11373,27,11053,341,10450,949,11276,124
HATHRAS,HATHRAS,2,60,4138,5,4171,24,13,3991,196,0,67,4133,7,2,4190,4200,0,874,3326,581,3619,2605,1595,3079,1121,3894,306,2518,1682
JALAUN,JALAUN,2,5,5393,2,4684,714,4942,440,18,8,343,5049,3,0,5393,5393,1,5382,18,4942,458,4909,488,5394,6,4496,901,5393,7
JAUNPUR,JAUNPUR,28,4,12567,1722,6927,3951,34,11034,1532,14,333,12253,208,3,12371,12550,49,2701,9899,8595,4004,7361,5235,12578,16,1883,10712,10597,2003
JHANSI,JHANSI,2,49,3947,99,2024,1874,2281,1678,39,91,959,2948,2,1,3995,3977,21,79,3919,3643,355,3501,497,3992,6,3729,268,3990,8
KANNAUJ,KANNAUJ,3,0,4797,142,4356,302,2,4467,331,9,730,4061,12,6,4782,4795,5,4220,580,4213,587,3845,955,4800,0,3668,1132,4800,0
KANPUR DEHAT,KANPUR DEHAT,3,1,5996,6,5306,688,9,5734,257,11,29,5959,19,4,5976,5998,2,4734,1266,4702,1298,3860,2138,5982,14,4742,1258,5685,314
KANPUR NAGAR,KANPUR NAGAR,1,0,5999,5,5360,635,36,4400,1564,2,126,5872,5,1,5994,5835,165,5931,69,5992,8,5889,111,5993,7,5174,826,5996,4
Kasganj,Kasganj,11,376,3116,8,3022,473,11,3469,23,2,56,3445,2,1,3496,3501,2,391,3112,358,3145,1509,1994,3133,369,2249,1254,2540,963
KAUSHAMBI,KAUSHAMBI,0,0,4800,0,4646,154,3355,1444,1,0,1,4799,0,0,4800,4799,1,4544,256,4214,586,2677,2123,4458,342,4776,24,4208,592
KHERI,KHERI,17,2,8981,805,7059,1135,23,8904,73,2,169,8829,37,2,8956,8967,32,7829,1170,8897,103,8836,160,8986,13,8676,323,8959,41
KUSHI NAGAR,KUSHI NAGAR,16,3,8381,1178,5489,1733,19,7431,950,96,1759,6545,26,2,8372,8367,32,6048,2352,6130,2270,6379,2021,7980,418,4653,3747,7627,773
LALITPUR,LALITPUR,1,306,2693,99,1499,1402,1823,1141,36,423,745,1832,2,0,2998,2997,3,1200,1800,2739,261,2197,803,2996,4,2133,867,2984,16
LUCKNOW,LUCKNOW,8,0,4793,618,3232,951,1039,3214,548,207,1760,2834,12,0,4789,4351,449,4702,99,4342,459,4342,458,4796,3,4591,210,4125,676
MAHARAJGANJ,MAHARAJGANJ,11,1,7188,61,4715,2424,86,6277,837,379,3579,3242,4,3,7193,7195,5,6754,446,6268,932,6816,384,7197,3,6304,896,7189,11
MAHOBA,MAHOBA,0,0,2000,318,1443,239,1248,732,20,1,54,1945,0,1,1999,1997,3,1399,601,394,1606,1993,7,1999,1,1,1999,1723,277
MAINPURI,MAINPURI,3,5,5392,1868,2826,706,3068,1821,511,176,712,4512,187,159,5054,4968,432,4595,805,2792,2608,3432,1968,5174,225,143,5257,4557,843
MATHURA,MATHURA,5,1,5994,3445,2409,145,474,5101,424,190,1355,4455,756,6,5229,5725,274,4437,1563,1310,4686,2842,3157,5010,990,464,5536,5369,631
MAU,MAU,3,4,5393,828,3312,1260,5,5366,29,11,4,5385,3,1,5393,5388,12,817,4583,4618,782,4278,1122,5397,2,3699,1700,5377,23
MEERUT,MEERUT,14,1274,5912,353,5630,1216,1122,5795,283,21,1294,5885,9,3,7188,7166,34,6952,248,6476,724,5752,1448,6988,212,5423,1777,7013,187
MIRZAPUR,MIRZAPUR,4,0,7196,26,3939,3235,1610,5437,153,58,1786,5341,7,3,7189,7177,20,7121,79,5278,1922,4535,2574,7141,48,2738,4458,7093,107
MORADABAD,MORADABAD,12,2,4786,1627,2682,491,32,3397,1371,50,1233,3517,7,1,4791,4755,45,4650,150,3974,826,4036,764,4798,1,1367,3433,4790,10
MUZAFFARNAGAR,MUZAFFARNAGAR,6,0,5397,1928,3281,193,4,3885,1513,49,1541,3813,15,2,5383,5394,8,5250,152,4449,953,3184,2218,5397,3,4219,1183,5399,3
PILIBHIT,PILIBHIT,2,0,3498,368,2226,906,133,2503,864,102,558,2840,3,0,3496,3488,12,3376,124,2561,939,2149,1351,3416,81,3319,179,1125,2375
PRATAPGARH,PRATAPGARH,0,0,10200,2115,8079,6,2,10189,9,3,2,10195,5,0,10195,10200,0,9971,229,10158,42,10073,127,10200,0,7246,2954,9991,209
PRAYAGRAJ,PRAYAGRAJ,0,0,13800,3156,9416,1228,9568,4232,0,21,382,13397,0,0,13800,13492,308,13008,792,12251,1549,11882,1918,13585,215,13660,140,13494,306
RAE BARELI,RAE BARELI,13,0,10787,416,4965,5419,2959,7048,793,132,1368,9300,567,2,10228,8913,1887,2277,8523,8517,2282,10324,476,10669,131,10790,10,9531,1269
RAMPUR,RAMPUR,0,1,2999,1236,1509,255,28,2307,665,95,714,2191,12,3,2984,2990,10,1697,1303,716,2284,1399,1601,2318,649,1072,1928,1319,1681
SAHARANPUR,SAHARANPUR,6,1,6593,877,4679,1044,9,5279,1312,27,376,6197,12,14,6555,6587,12,4084,2516,5724,876,4060,2540,6557,41,5097,1503,6546,54
SAMBHAL,SAMBHAL,10,2,4888,440,3685,774,931,3506,463,167,1193,3540,9,1,4881,4718,182,4871,29,4838,62,2602,2298,4839,60,4237,663,4892,8
SANT KABEER NAGAR,SANT KABEER NAGAR,0,15,5385,1730,2577,1093,4,4873,523,4,14,5382,7,9,5383,5391,9,159,5241,5393,7,327,5073,5400,0,2085,3315,5396,4
SHAHJAHANPUR,SHAHJAHANPUR,5,1,8994,9,5978,3013,7,8933,60,19,111,8869,4,3,8989,8990,6,8586,414,8035,965,7550,1450,8782,216,7775,1224,7782,1217
SHAMLI,SHAMLI,0,0,2500,628,1362,510,1,1843,656,425,1042,1033,3,1,2496,2499,1,1731,769,2465,35,2035,465,2496,1,1979,520,2500,0
SHRAVASTI,SHRAVASTI,0,1,2499,58,1913,529,2,2052,446,9,177,2314,15,5,2480,2499,0,1548,952,1990,510,1857,643,2385,115,467,2033,2383,117
SIDDHARTH NAGAR,SIDDHARTH NAGAR,11,7,8382,1044,3899,3457,13,8291,96,32,4339,4029,7,2,8391,8391,9,1655,6744,8319,81,604,7796,8400,0,2938,5462,8343,57
SITAPUR,SITAPUR,27,6,11366,300,10599,501,33,10086,1281,22,569,10809,23,14,11351,11362,35,11369,31,11348,52,8957,2435,11317,73,11379,15,11364,36
SONBHADRA,SONBHADRA,9,9,5982,465,4858,675,14,5934,51,151,809,5040,108,5,5886,5983,16,5974,25,5971,28,5912,82,5987,1,130,5867,5965,34
SULTANPUR,SULTANPUR,22,2,8376,2785,4051,1563,39,7736,625,104,577,7719,126,16,8258,8360,40,6107,2293,3475,4925,4197,4203,7398,999,2610,5789,7304,1096
UNNAO,UNNAO,17,0,9583,204,8814,582,4341,4878,381,196,1827,7577,13,11,9574,9318,282,9525,75,9217,383,9572,28,9596,4,9569,31,9466,134
VARANASI,VARANASI,0,0,4800,542,2078,2180,109,4672,19,5,155,4640,15,0,4785,4766,34,1538,3261,4201,599,1519,3281,4791,7,591,4209,3961,839
