Center_Name,District,State,Email,Phone,Address,Region_District,Coordinates
"STL, LALITPUR",LALITPUR,UTTAR PRADESH,pankajindorians@gmail.com,+919425347954,"Lalitpur, Lalitpur Tehsil, Lalitpur, Uttar Pradesh, 284403, India",LALITPUR,"24.6935695, 78.4178866"
Soil Testing Lab Chandauli,CHANDAULI,UTTAR PRADESH,samarbahadurdaulatiya9@gmail.com,+919616782971,"चंदौली, Chandauli, Uttar Pradesh, 232104, India",CHANDAULI,"25.259551294075298, 83.24273044169746"
Assistant Director Soil Testing and Culture Bilwa Bareilly,BAREILLY,UTTAR PRADESH,jitu.singh0070@gmail.com,+917276516781,"NH530, Bareilly, Bareilly District, Uttar Pradesh, 243001, India",BAREILLY,", "
Soil Testing Lab Budaun,BUDAUN,UTTAR PRADESH,dmpradeep100@gmail.com,+919149356105,"Budaun, Uttar Pradesh, 243600, India",BUDAUN,"28.02614885252789, 79.12937738423294"
Soil Testing Lab Amroha,AMROHA,UTTAR PRADESH,surendrasinghaai@gmail.com,+917983315219,"अमरोहा, Amroha, Jyotiba Phule Nagar, उत्तर प्रदेश, 244221, भारत",AMROHA,"28.890008542502, 78.47658279344141"
DISTRICT SOIL TESTING LABORATORY,MAHARAJGANJ,UTTAR PRADESH,ks294193@gmail.com,+919026449743,"Maharajganj, Mahrajganj, Uttar Pradesh, 273303, India",MAHARAJGANJ,"27.160505, 83.5762113"
SOIL TESTING LAB ALIGARH,ALIGARH,UTTAR PRADESH,ppsingh020882@gmail.com,+919719037174,"Koil, अलीगढ़ जिला, Uttar Pradesh, India",ALIGARH,"28.0632849, 78.1994793"
Soil Testing Lab,HATHRAS,UTTAR PRADESH,kcssri87@gmail.com,+918979527080,"Sasni, Hathras, Uttar Pradesh, 204101, India",HATHRAS,"27.1816375, 77.9915469"
District Soil Testing Lab Shahjahanpur,SHAHJAHANPUR,UTTAR PRADESH,Veerpalkashyap627@gmail.com,+918521786609,"Lodhipur, Shahjahanpur, Uttar Pradesh, India",SHAHJAHANPUR,"27.8796125, 79.9283647"
District Soil Testing Laboratory Fatehpur,FATEHPUR,UTTAR PRADESH,premdansingh@gmail.com,+918853041877,"NH19, फतेहपूर, फ़तेहपुर, उत्तर प्रदेश, 212600, भारत",FATEHPUR,"25.935915730542668, 80.8322691596326"
S.T.L Bijnor,BIJNOR,UTTAR PRADESH,subodhkumar130789@gmail.com,+919258841948,"बिजनौर, Bijnor, Uttar Pradesh, 246700, India",BIJNOR,"29.36911282392119, 78.13413846593014"
LAB SITAPUR,SITAPUR,UTTAR PRADESH,yadavshivkumar34@gmail.com,+919412183168,"Sitapur, Uttar Pradesh, 261001, India",SITAPUR,"27.59356717460016, 80.67761635642896"
"District Soil Testing Lab, Mau",MAU,UTTAR PRADESH,laxmikantyadav119@gmail.com,+919670032034,"Mau, Maunath Bhanjan, Mau, Uttar Pradesh, 275101, India",MAU,"25.931230261929663, 83.57427148669449"
Soil Testing Lab Shravasti,SHRAVASTI,UTTAR PRADESH,ikhlaqknp@gmail.com,+919935168084,"Bhinga, Sharawasti, Uttar Pradesh, 271831, India",SHRAVASTI,"27.71579739834362, 81.93667663902637"
Lab Jaunpur,JAUNPUR,UTTAR PRADESH,soiltestinglabjaunpur@gmail.com,+919450241796,"NH31;NH731, Jaunpur, Uttar Pradesh, 222001, India",JAUNPUR,"25.736879500851288, 82.67757082133771"
STL ETAH,ETAH,UTTAR PRADESH,scyadav181@gmail.com,+919457604077,"Etah, Uttar Pradesh, 207001, India",ETAH,"27.545134818690016, 78.6837829361311"
LAB PRATAPGARH,PRATAPGARH,UTTAR PRADESH,pbhsoil123@gmail.com,+918318007727,"Katra Road, Pratapgarh, Uttar Pradesh, 230001, India",PRATAPGARH,"25.91311951590359, 81.98716677573614"
SOIL TESTING LAB,MEERUT,UTTAR PRADESH,ANILK19911991@GMAIL.COM,+919458738043,"Delhi road, Meerut, Uttar Pradesh, 250002, India",MEERUT,"28.9582105947516, 77.68411827321793"
Lab Kannauj,KANNAUJ,UTTAR PRADESH,stl.kannauj155@gmail.com,+918299525424,,KANNAUJ,"None, None"
Janpadiya Bhumi Parikshad Prayogsala,KUSHI NAGAR,UTTAR PRADESH,sarveshkumarsharma182@gmail.com,+917905433001,"Padrauna, Kushinagar, Uttar Pradesh, 274304, India",KUSHI NAGAR,"26.889836906714443, 83.98600417740906"
मृदा परीक्षण प्रयोगशाला कासगंज,Kasganj,UTTAR PRADESH,rohitashkumar1824@gmail.com,+918279563471,"Kasganj, Uttar Pradesh, India",Kasganj,"27.760129870733618, 78.52121608886243"
soil testing lab hapur,HAPUR,UTTAR PRADESH,prvnnehra@gmail.com,+919837760836,"Hapur, Uttar Pradesh, 245101, India",HAPUR,"28.67894642427021, 77.7432103942618"
Soil Testing Lab Baghpat,BAGHPAT,UTTAR PRADESH,Rishpal092@gmail.com,+919058595892,"Baghpat, Uttar Pradesh, 250609, India",BAGHPAT,"28.938002982487117, 77.25370095976041"
"soil testing lab, bhadohi",BHADOHI,UTTAR PRADESH,pavanbhu07@gmail.com,+917071523641,"Gyanpur-Bhadohi Road, Gyanpur, Sant Ravidas Nagar, Uttar Pradesh, 221304, India",BHADOHI,"25.34881505770185, 82.49614480346952"
"Regional Soil Testing Lab, Kanpur Nagar",KANPUR NAGAR,UTTAR PRADESH,chhotebabu1983@gmail.com,+919058595892,"Krashi Bhavan , Kanpur Mandal Kanpur, Rawatpur Kanpur Nagar, Uttar Pradesh, 208002, India",KANPUR NAGAR,"18.610749145320113, 73.91021988950276"
Regional soil testing lab kotwa azamgarh,AZAMGARH,UTTAR PRADESH,stlazamgarh123@gmail.com,+919628589044,"NH28, Azamgarh, Uttar Pradesh, 276001, India",AZAMGARH,"26.02620399739931, 83.14200513352105"
soil testing lab Ghaziabad,GHAZIABAD,UTTAR PRADESH,soillabghaziabad@gmail.com,+917987704682,"Ghaziabad, Ghaziabad District, Uttar Pradesh, 201002, India",GHAZIABAD,"28.6744821, 77.4459129"
"क्षेत्रीय भूमि परीक्षण प्रयोगषाला,गोरखपुर",GORAKHPUR,UTTAR PRADESH,sbsandhyabharti@gmail.com,+919918709920,Uttar Pradesh,GORAKHPUR,"26.80041697293387, 83.39101964184384"
"District Soil Testing Lab, Sonbhadra",SONBHADRA,UTTAR PRADESH,stl.184sonebhdra@gmail.com,+918808138904," Mangurahi ( Deputy Director Agriculture office Campus,Robertsganj, Sonbhadra, Uttar Pradesh, 231209, India",SONBHADRA,"24.7638219033233, 83.06416199152223"
adst lab mirzapur,MIRZAPUR,UTTAR PRADESH,STLABMIRZAPUR@GMAIL.COM,+919896124068,"Mirzapur, Mirzapur District, Uttar Pradesh, 231001, India",MIRZAPUR,"25.181331004547157, 82.60599368100755"
soil testing lab prayagraj,PRAYAGRAJ,UTTAR PRADESH,ranjeevmaurya@gmail.com,+918858522007,"Harwara, Prayagraj, Uttar Pradesh, 211001, India",PRAYAGRAJ,"25.448137817290444, 81.77022707472803"
District soil lab hamirpur,HAMIRPUR,UTTAR PRADESH,imshwetaranjan@gmail.com,+918004497569,"Hamirpur, उत्तर प्रदेश, 210301, भारत",HAMIRPUR,"25.89534868191597, 80.11122795386918"
"SOIL TESTING LAB, BARA, KANPUR DEHAT",KANPUR DEHAT,UTTAR PRADESH,mamteshkatiyarstlkd@gmail.com,+918081869058,"NH19;NH27, Akbarpur, Kanpur Dehat, Uttar Pradesh, India",KANPUR DEHAT,"26.38291358237903, 80.01209691441382"
"soil testing lab, lakhimpur-kheri",KHERI,UTTAR PRADESH,cshakher670@gmail.com,+919648484968,Soul Buoy,KHERI,"-5e-07, 5e-07"
Soil Testing Lab Ballia,BALLIA,UTTAR PRADESH,rkvamh91@gmail.com,+919889177154,"Ballia, Uttar Pradesh, 277001, India",BALLIA,"25.764832915666442, 84.14311285311928"
"Soil Testing Lab, Etawah",ETAWAH,UTTAR PRADESH,ddaretw@gmail.com,+918607330729,"Etawah, Uttar Pradesh, 206001, India",ETAWAH,"26.785254878222627, 78.99971836598819"
soil testing lab manjhanpur kaushambi,KAUSHAMBI,UTTAR PRADESH,stl.kaushambi158@gmaill.com,+919714179953,"Manjhanpur, Kaushambi, Uttar Pradesh, 212207, India",KAUSHAMBI,"25.532371416179654, 81.38560855280154"
soil testing lab bahraich,BAHRAICH,UTTAR PRADESH,vk3731498@gmail.com,+916398044641,"बहराइच, Bahraich, बहराइच, Uttar Pradesh, 271801, India",BAHRAICH,"27.58341451210549, 81.6309641317469"
Regional Soil Testing lab Basti,BASTI,UTTAR PRADESH,adstlbasti@gmail.com,+919670015551,"Company bagh, MDR93E, Basti, Uttar Pradesh, 272001, India",BASTI,"26.789466712754084, 82.72521043164114"
soil testing lab,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,rohitsharma44ma@gmail.com,+919991149211,"Kherli Hafizpur, BulandKhera, Gautam Buddha Nagar, Uttar Pradesh, 203202, India",GAUTAM BUDDHA NAGAR,"28.38822101633176, 77.61796060503362"
District Soil testing lab,SIDDHARTH NAGAR,UTTAR PRADESH,stl182siddharthnagar@gmail.com,+919410456163,"Krishi Bhawan Siddharthnagar, NH28;NH730, Naugarh, Siddharth Nagar, Uttar Pradesh, 272203, India",SIDDHARTH NAGAR,"27.2786386, 83.0639536"
Regonal Soil Testing Lab Ayodhya,AYODHYA,UTTAR PRADESH,sunily086@gmail.com,+918057712389,"Faizabad, Uttar Pradesh, 224001, India",AYODHYA,"26.7711358, 82.1264385"
LAB FARRUKHABAD,FARRUKHABAD,UTTAR PRADESH,Pradeepstlfarrukh@gmail.com,+919793978689,"Farrukhabad, Uttar Pradesh, 209625, India",FARRUKHABAD,"27.384333579827256, 79.60683908629974"
Soil Testing Lab Sultanpur,SULTANPUR,UTTAR PRADESH,kumarbrijendra642@gmail.com,+919918979747,"Sultanpur, Uttar Pradesh, 228001, India",SULTANPUR,"26.211645359324425, 82.05713920941827"
soil testing lab auraiya,AURAIYA,UTTAR PRADESH,dstlauraiya@gmail.com,+918887644582,"Auraiya, Uttar Pradesh, 206122, India",AURAIYA,"26.460263971406185, 79.5020003013583"
District Soil Testing Laboratory Mahoba,MAHOBA,UTTAR PRADESH,stl.165mahoba@gmail.com,+919450178833,"Rath Road Mahoba, Uttar Pradesh, 210427, India",MAHOBA,"25.2928557, 79.85215769999999"
"District Soil Testing Lab, Tala, Amethi",Amethi,UTTAR PRADESH,mauryaalok61@gmail.com,+918787685868,"NH931,Tala,  Amethi, Uttar Pradesh, 227405, India",Amethi,"26.176204497836334, 81.74876324420472"
District soil testng lab civil line firozabad,FIROZABAD,UTTAR PRADESH,javidali15091994@gmail.com,+917078304728,"D.M Office Firozabad, Civil Line Road, Dabrai, Uttar Pradesh, India",FIROZABAD,"27.127739, 78.4575222"
regional soil testing lab jhansi,JHANSI,UTTAR PRADESH,garimagupta90.gk@gmail.com,+917007817045,"Jhansi, Uttar Pradesh, 284002, India",JHANSI,"25.449980628153103, 78.56464829208713"
"SOIL TESTING LAB, MATHURA",MATHURA,UTTAR PRADESH,rajneshbabu96@gmail.com,+919411234232,"Yamuna Expressway, Diwana Khurd, Mat, मथुरा, Agra division, Uttar Pradesh, 281204, India",MATHURA,"27.534551365210493, 77.7605371085915"
Soil Testing Laboratory Unnao,UNNAO,UTTAR PRADESH,kanojiya2232@gmail.com,+918052542968,"SH38, Unnao, Uttar Pradesh, 209800, India",UNNAO,"26.59140918684409, 80.45962132398664"
soil testing lab mainpuri,MAINPURI,UTTAR PRADESH,soiltestinglaboratorymainpuri@gmail.com,+918650415012,"Mainpuri, Uttar Pradesh, 205001, India",MAINPURI,"27.2065818, 79.0220559"
REGIONAL SOIL TESTING LABOUTRY GONDA,GONDA,UTTAR PRADESH,addevipatanmandal@gmail.com,+919812056051,"Gonda, Uttar Pradesh, 271001, India",GONDA,"27.125427, 81.9394073"
LAB SAHARANPUR,SAHARANPUR,UTTAR PRADESH,at4517845@gmail.com,+918126080103,"Saharanpur, Uttar Pradesh, 247001, India",SAHARANPUR,"29.967096516142924, 77.55908991337401"
LAB MUZAFFARNAGAR,MUZAFFARNAGAR,UTTAR PRADESH,naresh.kumar09090@gmail.com,+917906617706,"Old NH58, Muzaffarnagar, Uttar Pradesh, 251001, India",MUZAFFARNAGAR,"29.448596138588073, 77.69753529189917"
LAB SHAMLI,SHAMLI,UTTAR PRADESH,sannychauhan647@gmail.com,+918006118033,"Kairana, Shamli, Uttar Pradesh, 247774, India",SHAMLI,"29.386475628348304, 77.20196699198232"
Soil lab ghazipur,GHAZIPUR,UTTAR PRADESH,stl.146ghazipur@gmail.com,+919598230191,"Ghazipur, Uttar Pradesh, 233001, India",GHAZIPUR,"25.578714928067164, 83.55716606408923"
soil testing lab ambedkarnagar,AMBEDKAR NAGAR,UTTAR PRADESH,lovelysinghp4@gmaol.com,+918130206150,"SH5; SH30, Akbarpur, Ambedkar Nagar, Uttar Pradesh, 224122, India",AMBEDKAR NAGAR,"26.43781183132664, 82.54513927425974"
District soil testing LAB. karvi Chitrakoot,CHITRAKOOT,UTTAR PRADESH,anandsen4554@gmail.com,+919119951591,"Chitrakoot Dham, Karwi, Chitrakoot, Uttar Pradesh, 210205, India",CHITRAKOOT,"25.213335651114303, 80.92168595380706"
Regional soil testing Lab Agra,AGRA,UTTAR PRADESH,agraadst@gmail.com,+919149114609,"Beej Godam, Peer Kalyani Road, Near Paliwal park, Agra, Uttar Pradesh, 282004, India",AGRA,"27.1766701, 78.00807449999999"
DISTRICT SOIL TESTING LAB HARDOI,HARDOI,UTTAR PRADESH,ratdshardoi@gmail.com,+919473569255,"Soil Testing Lab Hardoi Uttar Pradesh, Circular Road, Hardoi, Uttar Pradesh, India",HARDOI,"27.3820925, 80.12471769999999"
District Soil Testing Lab,PILIBHIT,UTTAR PRADESH,Stl.173pilibhit@gmail.com,+919504672849,"पीलीभीत, Pilibhit, Pilibhit District, Uttar Pradesh, 262001, India",PILIBHIT,"28.633968240596406, 79.81914093686459"
SOIL TESTING LAB BANDA,BANDA,UTTAR PRADESH,shree10183@gmail.com,+919919293758,"Swraj Colony, Banda, Uttar Pradesh, 210001, India",BANDA,"25.49246029164243, 80.33412678125248"
soil testing laboratory balrampur,BALRAMPUR,UTTAR PRADESH,chhotecsa50@gmail.com,+918787262893,"Balrampur, Uttar Pradesh, India",BALRAMPUR,"27.487898683938074, 82.13822848738349"
District Level Soil Testing lab Santkabeer nagar,SANT KABEER NAGAR,UTTAR PRADESH,stl.178santkabeernagar@gmail.com,+918299113219,"Q3VF+5RV Khatauli, Uttar Pradesh, India",SANT KABEER NAGAR,"26.792992014879943, 83.07455206073267"
Mini Lab Etmadpur,AGRA,UTTAR PRADESH,anilkumarj@gmail.com,+919412336654,etmadpur agra,AGRA,"27.2333127, 78.1991896"
Mini laboratory Modinagar,GHAZIABAD,UTTAR PRADESH,dcgupta1996@gmail.com,+918630241440,"Yakutpur Mavi, Uttar Pradesh 201204, India",GHAZIABAD,"28.8533885, 77.55907599999999"
MINI LAB JALESAR,ETAH,UTTAR PRADESH,ramsevakskb@gmail.com,+918171420599,"Jalesar, Uttar Pradesh, India",ETAH,"27.4714557, 78.31024889999999"
Mini Lab Hasanpur,AMROHA,UTTAR PRADESH,moralyasveer@gmail.com,+918923899931,"Hasanpur, Amroha, Uttar Pradesh, India",AMROHA,"28.7237807, 78.2846303"
Mini Lab Najibabad,BIJNOR,UTTAR PRADESH,ratiramsyahoomail.in@gmail.com,+916397770768,"Sevaram, Najibabad, Uttar Pradesh, India",BIJNOR,"29.6074556, 78.3458198"
MINI LAB ALIGANJ,ETAH,UTTAR PRADESH,s87588036@gmail.com,+919457054999,"Aliganj, Etah, Uttar Pradesh, India",ETAH,"27.4922073, 79.1689623"
mini_chandausi,SAMBHAL,UTTAR PRADESH,minilabchandausi@gmail.com,+919457422038,"Geeta Colony, Chandausi, Uttar Pradesh 244412, India",SAMBHAL,"28.4602776, 78.788704"
Mini Lab Dhanaura,AMROHA,UTTAR PRADESH,manojrana971970@gmail.com,+919719705037,"Dhanaura, Amroha, Uttar Pradesh, India",AMROHA,"28.9546106, 78.2647004"
Mini Lab Chandpur,BIJNOR,UTTAR PRADESH,kapilrathi8@gmail.com,+919897843491,"Chandpur - Noorpur Road, Pipalsana, Uttar Pradesh, India",BIJNOR,"29.1306274, 78.3000145"
Mini Lab Dhampur,BIJNOR,UTTAR PRADESH,umardeen1982@gmail.com,+918923108430,"Dhampur shila, State Highway 49, Alhaipur, Dhampur, Uttar Pradesh, India",BIJNOR,"29.2864202, 78.5216186"
minilabgunnaur,SAMBHAL,UTTAR PRADESH,minilabgunnaur@gmail.com,+919457422038,"Gunnaur, Uttar Pradesh, India",SAMBHAL,"28.2362323, 78.4382469"
Mini Lab Nagina,BIJNOR,UTTAR PRADESH,ramparsad8585@gmail.com,+917017534981,"Rampur Dass, Uttar Pradesh, India",BIJNOR,"29.4304783, 78.4140817"
STATIC LAB NICHLAUL,MAHARAJGANJ,UTTAR PRADESH,jnp9450@gmail.com,+917355401896,"8P4J+F27 Nichlaul, Uttar Pradesh, India",MAHARAJGANJ,"27.306155283268893, 83.73004475103697"
Mini Lab Thakurdwara,MORADABAD,UTTAR PRADESH,snaubahar25@gmail.com,+918077686502,"Thakurdwara, Uttar Pradesh, India",MORADABAD,"29.1911483, 78.8607099"
STATIC LAB PHARENDA,MAHARAJGANJ,UTTAR PRADESH,rikku9454@gmail.com,+916394690136,"27C8+986 Chaumukha, Uttar Pradesh, India",MAHARAJGANJ,"27.020917602080743, 83.26575068144365"
Mini Lab Bilari,MORADABAD,UTTAR PRADESH,mohit918@gmail.com,+917983300918,"Bilari, Uttar Pradesh, India",MORADABAD,"28.6232517, 78.80126299999999"
MINI LAB NAUTANWA,MAHARAJGANJ,UTTAR PRADESH,omp44896@gmail.com,+919935600610,"CCGG+4QH Nautanwa, Uttar Pradesh, India",MAHARAJGANJ,"27.425323029119635, 83.42699232144624"
MINI LAB SAKALDIHA,CHANDAULI,UTTAR PRADESH,mishravinay627@gmail.com,+919695222211,"9735+W62 Etawan, Uttar Pradesh, India",CHANDAULI,"25.354764339984282, 83.25802683245985"
GHATAMPUR,KANPUR NAGAR,UTTAR PRADESH,sachanharish79@gmail.com,+917985750301,"5534+F7C Ghatampur, Uttar Pradesh, India",KANPUR NAGAR,"26.153697960574014, 80.15565314117111"
BILHAUR,KANPUR NAGAR,UTTAR PRADESH,sainidevendra080@gmail.com,+919140908307,"R3GC+2PV Subhanpur Muradnagar, Uttar Pradesh, India",KANPUR NAGAR,"26.825120112085596, 80.07178988857605"
Mini STL Suar,RAMPUR,UTTAR PRADESH,visheshchauhan.ag@gmail.com,+916397697914,"Suar, Rampur Uttar Pradesh 244924, India",RAMPUR,"29.0247574, 79.0560311"
Mini STL Milak,RAMPUR,UTTAR PRADESH,abhaysinghchouhan6007@gmail.com,+919761591251,"Loha Patti Bhola Nath, Rampur, Uttar Pradesh 243701, India",RAMPUR,"28.6465799, 79.1463868"
meerganj,BAREILLY,UTTAR PRADESH,gangwarshiv9457@gmail.com,+919457290070,"Mirganj, Bareilly Division, Uttar Pradesh, India",BAREILLY,"28.5420551, 79.2084565"
aonla,BAREILLY,UTTAR PRADESH,vikasrana063@gmail.com,+917417843356,"HM7H+77P Ejri, Uttar Pradesh, India",BAREILLY,"28.563224167443387, 78.67821345371215"
faridpur,BAREILLY,UTTAR PRADESH,gauravamity09@gmail.com,+919451841507,"Faridpur, Bareilly Division, Uttar Pradesh, India",BAREILLY,"28.2091237, 79.53776169999999"
Mini STL Talbehat,LALITPUR,UTTAR PRADESH,rajeshm353@gmail.com,+919754967696,"Talbehat, Lalitpur, Uttar Pradesh, India",LALITPUR,"25.04426, 78.431061"
Mini STL Bilaspur,RAMPUR,UTTAR PRADESH,mangalms1977@gmail.com,+919837544811,"Hurmat Nagar, Rampur, Uttar Pradesh, India",RAMPUR,"28.730531, 79.2592105"
BAHERI,BAREILLY,UTTAR PRADESH,121msarya@gmail.com,+917983915183,"Baheri, Bareilly Division, Uttar Pradesh, India",BAREILLY,"28.7780401, 79.4956974"
Nawabganj,BAREILLY,UTTAR PRADESH,vk2012.pbt@gmail.com,+916397354618,"Nawabganj, Bareilly Division, Uttar Pradesh, India",BAREILLY,"28.5405365, 79.6305599"
Mini STL Mahroni,LALITPUR,UTTAR PRADESH,ishwardhakad0@gmail.com,+919754310515,"Mahroni, Uttar Pradesh, India",LALITPUR,"24.5831479, 78.7277814"
Mini STL Shahabad,RAMPUR,UTTAR PRADESH,dhakaranveersingh@gmail.com,+919411010042,"Turkhera, Rampur, Uttar Pradesh, India",RAMPUR,"28.5403631, 79.0002221"
MiniLab_Lalganj,AZAMGARH,UTTAR PRADESH,kailashnathray726@gmail.com,+919628589044,"Lalganj Azamgarh Uttar Pradesh, India",AZAMGARH,"25.782387065170607, 83.02364053410965"
Mini Lab,HAPUR,UTTAR PRADESH,justcool150@gmail.com,+919456959571,"Brijghat, Uttar Pradesh 245205, India",HAPUR,"28.7556499, 78.1407651"
Mini Lab,AYODHYA,UTTAR PRADESH,dcgupta1790@gmail.com,+918957702009,"Tenduaa mafi bikapur, Bikapur, Ayodhya, Uttar Pradesh, India",AYODHYA,"26.6021681, 82.1332084"
Mini Lab Lalganj,RAE BARELI,UTTAR PRADESH,arvindruhi1984@gmail.com,+919956091216,"Banna Mau, Uttar Pradesh 229206, India",RAE BARELI,"26.1867687, 80.98987009999999"
mini lab ghosi,MAU,UTTAR PRADESH,rakeshbrnwl.ag@gmail.com,+919616263669,"4G6V+Q8M Ghosi, Uttar Pradesh, India",MAU,"26.111971951109954, 83.54328490231576"
Minilab_Phulpur,AZAMGARH,UTTAR PRADESH,yadovkailash6@gmail.com,+918528020842,"Phulpur Azamgarh Uttar Pradesh, India",AZAMGARH,"26.073430667427143, 82.86967665523576"
GABHANA STHAN JAWAN,ALIGARH,UTTAR PRADESH,psingh020882@gmail.com,+919719037174,"Jawan, Uttar Pradesh, India",ALIGARH,"25.3479623, 78.8580815"
Mini Lab Sahaswan,BUDAUN,UTTAR PRADESH,sharma9456@gmail.com,+917906344221,"Sahaswan Bisoli Road, Khitaura Kundan, Uttar Pradesh, India",BUDAUN,"28.1419938, 78.832922"
MINI LAB TANDA,AMBEDKAR NAGAR,UTTAR PRADESH,subhagram27@gmail.com,+917052044136,"GMV8+GV6 Tanda, Uttar Pradesh, India",AMBEDKAR NAGAR,"26.543796722338598, 82.66713852334007"
Mini Lab Kaimganj,FARRUKHABAD,UTTAR PRADESH,BhagwanSingh80936@gmail.com,+918384831830,Pitoura kaimganj farrukhabad up,FARRUKHABAD,"27.5347926, 79.34373939999999"
IGLAS,ALIGARH,UTTAR PRADESH,kumarjayvesh178@gmail.com,+919759135136,"Tehra, Uttar Pradesh 202124, India",ALIGARH,"27.7080526, 77.93674089999999"
Muhammadabad Gohna,MAU,UTTAR PRADESH,laxmikantyadav1199@gmail.com,+919670032034,"2C6F+MRG Mahtabpur, Uttar Pradesh, India",MAU,"26.011687176464772, 83.42458477633919"
Static Lab Kerakat,JAUNPUR,UTTAR PRADESH,aksharma6363@gmail.com,+919129607915,"Khujjhi, Jaunpur, Uttar Pradesh, India",JAUNPUR,"25.6220678, 82.9904737"
Mini Lab,AYODHYA,UTTAR PRADESH,hiralalmaurya9450@gmail.com,+919450779567,"Bhelsar - Rudauli Ayodhya Uttar Pradesh, India",AYODHYA,"26.7807509, 81.7769414"
Mini Lab Fatehpur,BARABANKI,UTTAR PRADESH,surajpalup@gmail.com,+917843808442,"Soil Testing Lab, SDAEO Office, Kheria fatehpur, Uttar Pradesh, India",BARABANKI,"27.18732128116549, 81.21338645154019"
ATRAULI,ALIGARH,UTTAR PRADESH,singharvir50@gmail.com,+916397931520,"Atrauli, Uttar Pradesh, India",ALIGARH,"28.0305378, 78.285805"
Lab Rath,HAMIRPUR,UTTAR PRADESH,ramrajput1390@gmail.com,+918576092613,"Rath Dakhin, Uttar Pradesh, India",HAMIRPUR,"25.5747851, 79.5519144"
Mini Lab Dataganj,BUDAUN,UTTAR PRADESH,chandubaba658@gmail.com,+917906328817,"Dataganj Tiraha, Budaun, Uttar Pradesh",BUDAUN,"28.0393343, 79.1386909"
Mini lab jalalpur,AMBEDKAR NAGAR,UTTAR PRADESH,shivbverma90@gmail.com,+918933058260,"8P6M+FM7 Jalalpur, Uttar Pradesh, India",AMBEDKAR NAGAR,"26.31117246808396, 82.73418313285731"
KHAIR STHAN SOMNA,ALIGARH,UTTAR PRADESH,pushpendrasaraswa04@gmail.com,+918393930073,"Somna, Uttar Pradesh, India",ALIGARH,"28.0569882, 77.93924"
Static Lab Shahganj,JAUNPUR,UTTAR PRADESH,lbjgzp1985@gmail.com,+918005239416,"Takha Mariyam West, Uttar Pradesh, India",JAUNPUR,"26.0820965661025, 82.68412458132221"
Mini Lab Bisauli,BUDAUN,UTTAR PRADESH,netrapals76@gmail.com,+918126329062,"Bisauli, Badaun Road, Bisauli, Uttar Pradesh, India",BUDAUN,"28.302852, 78.9452091"
Tehsil stareey mrida pareeshan lab Atarra,BANDA,UTTAR PRADESH,dixitbobby22@gmail.com,+919651893554,"Atarra Rural, Uttar Pradesh, India",BANDA,"25.269747, 80.5382889"
Minilab_Sagri,AZAMGARH,UTTAR PRADESH,vt76300@gmail.com,+918765508955,"Sagri Azamgarh, Uttar Pradesh, India",AZAMGARH,"26.146901833535992, 83.31433232465791"
